epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,6128.64,0.48347,0.25765,0.87382,0.99053,0.99745,0.99453,0.88034,0.4986,0.23073,0.87354,0.0003896,0.0003896,0.0003896
124,6177.95,0.47885,0.25139,0.86945,0.98335,1,0.99187,0.87531,0.4912,0.24467,0.87415,0.0003764,0.0003764,0.0003764
125,6227.48,0.48426,0.25235,0.86605,0.98814,1,0.99093,0.86857,0.49557,0.23573,0.87379,0.0003632,0.0003632,0.0003632
126,6276.93,0.46828,0.24224,0.86933,0.97481,1,0.97295,0.85242,0.49358,0.24055,0.87161,0.00035,0.00035,0.00035
127,6326.26,0.46857,0.24275,0.8717,0.97754,0.99911,0.97697,0.85263,0.49578,0.24704,0.87211,0.0003368,0.0003368,0.0003368
128,6375.5,0.47381,0.24778,0.87228,0.98245,0.99988,0.98353,0.85689,0.49579,0.24806,0.87213,0.0003236,0.0003236,0.0003236
129,6425.08,0.4705,0.24508,0.86749,0.97951,1,0.9874,0.86299,0.49973,0.24155,0.87875,0.0003104,0.0003104,0.0003104
130,6474.27,0.47315,0.24669,0.86766,0.98739,0.99911,0.99246,0.87222,0.48554,0.22552,0.88076,0.0002972,0.0002972,0.0002972
131,6523.64,0.45839,0.24357,0.86086,0.98697,0.99745,0.99246,0.87974,0.4852,0.2272,0.87029,0.000284,0.000284,0.000284
132,6572.79,0.46208,0.24117,0.8673,0.9786,0.99745,0.98667,0.86924,0.49138,0.24638,0.87133,0.0002708,0.0002708,0.0002708
133,6621.76,0.46325,0.24376,0.86301,0.97993,1,0.97959,0.86382,0.48132,0.24012,0.87296,0.0002576,0.0002576,0.0002576
134,6670.65,0.47456,0.24791,0.86232,0.97417,1,0.97278,0.851,0.48538,0.23828,0.87322,0.0002444,0.0002444,0.0002444
135,6719.96,0.45277,0.23571,0.86135,0.98202,1,0.9848,0.8671,0.48577,0.2289,0.87308,0.0002312,0.0002312,0.0002312
136,6769.22,0.45703,0.23885,0.86748,0.97962,1,0.97973,0.8599,0.48881,0.234,0.87205,0.000218,0.000218,0.000218
137,6818.33,0.4462,0.23144,0.85921,0.97432,1,0.97301,0.85987,0.48083,0.23839,0.86822,0.0002048,0.0002048,0.0002048
138,6867.15,0.45974,0.23808,0.86646,0.98323,1,0.98188,0.86633,0.47961,0.22999,0.87333,0.0001916,0.0001916,0.0001916
139,6916.38,0.44736,0.23033,0.85981,0.98226,1,0.98677,0.87418,0.48351,0.22914,0.8741,0.0001784,0.0001784,0.0001784
140,6965.79,0.45432,0.23243,0.86362,0.97873,1,0.97664,0.86089,0.4823,0.22836,0.86984,0.0001652,0.0001652,0.0001652
141,7030.9,0.39335,0.20161,0.81876,0.97336,1,0.97278,0.85736,0.48201,0.23811,0.87175,0.000152,0.000152,0.000152
142,7082.98,0.39047,0.20066,0.82405,0.982,1,0.98008,0.86137,0.47915,0.2266,0.86915,0.0001388,0.0001388,0.0001388
143,7133.09,0.39433,0.20082,0.81915,0.98176,1,0.97781,0.86548,0.47421,0.23292,0.86244,0.0001256,0.0001256,0.0001256
144,7182.22,0.38746,0.19795,0.82324,0.98245,1,0.98023,0.86272,0.47941,0.22362,0.8691,0.0001124,0.0001124,0.0001124
145,7231.4,0.38951,0.19359,0.8179,0.98777,1,0.985,0.86748,0.48098,0.2213,0.87338,9.92e-05,9.92e-05,9.92e-05
146,7280.14,0.38626,0.19599,0.82124,0.98452,1,0.98266,0.86741,0.47673,0.22499,0.87213,8.6e-05,8.6e-05,8.6e-05
147,7328.91,0.37878,0.19045,0.81653,0.98189,1,0.97781,0.86348,0.47766,0.22731,0.87057,7.28e-05,7.28e-05,7.28e-05
148,7378.35,0.3808,0.19185,0.82011,0.98419,1,0.98008,0.86429,0.4783,0.23042,0.87002,5.96e-05,5.96e-05,5.96e-05
149,7429.05,0.3835,0.19391,0.81757,0.98429,1,0.98023,0.86513,0.47729,0.22248,0.86895,4.64e-05,4.64e-05,4.64e-05
150,7478.92,0.37027,0.18586,0.81925,0.98414,1,0.98023,0.86483,0.47818,0.23146,0.87103,3.32e-05,3.32e-05,3.32e-05
